deneb_uid	capella_uid	decl	premise	base_succ	base_fail	comb_succ	comb_fail	category	note
587	581	relation ProcessJustificationAndFinalization	-- if (epoch_cur <= ($GENESIS_EPOCH + 1))	9	27	963	12053	falsifiable-covered	
594	588	relation ProcessInactivityUpdates	-- if ($get_current_epoch(state) = $GENESIS_EPOCH)	6	30	534	11442	falsifiable-covered	
598	592	relation ProcessRewardsAndPenalties	-- if ($get_current_epoch(state) = $GENESIS_EPOCH)	6	30	534	11040	falsifiable-covered	
617	611	relation ProcessSlashings	-- if ($sum_<gwei>(state.SLASHINGS) <= ($UINT64_MAX / $PROPORTIONAL_SLASHING_MULTIPLIER_BELLATRIX))	36	0	10763	123	falsifiable-covered	
623	617	relation ProcessSlashings	-- (if (penalty_numerator <= $UINT64_MAX))*{penalty_numerator <- penalty_numerator*}	36	0	10763	0	target-limitation	
627	621	relation ProcessEth1DataReset	-- if ((epoch_next \ $EPOCHS_PER_ETH1_VOTING_PERIOD) =/= 0)	35	1	10571	192	falsifiable-covered	
630	624	relation ProcessEffectiveBalanceUpdates	-- if (|state.VALIDATORS| <= |state.BALANCES|)	36	0	10733	30	falsifiable-covered	
635	629	relation ProcessSlashingsReset	-- if (i < |state.SLASHINGS|)	36	0	10349	0	unfalsifiable-tautology	
639	633	relation ProcessRandaoMixesReset	-- if (i < |state.RANDAO_MIXES|)	36	0	10349	0	unfalsifiable-tautology	
641	635	relation ProcessHistoricalSummariesUpdate	-- if ((epoch_next \ ($SLOTS_PER_HISTORICAL_ROOT / $SLOTS_PER_EPOCH)) =/= 0)	35	1	10166	183	falsifiable-covered	
648	642	relation ProcessSyncCommitteeUpdates	-- if ((epoch_next \ $EPOCHS_PER_SYNC_COMMITTEE_PERIOD) =/= 0)	35	1	10166	183	falsifiable-covered	
662	656	relation ProcessSlots_loop	-- if (state.SLOT >= slot_target)	569	1185	18821	277709	falsifiable-covered	
663	657	relation ProcessSlots_loop	-- if (state.SLOT < slot_target)	1185	0	277709	0	unfalsifiable-closing	
667	661	relation ProcessSlots_loop	-- if ((slot_next \ $SLOTS_PER_EPOCH) =/= 0)	1149	36	264693	13016	falsifiable-covered	
670	664	relation ProcessSlots_loop	-- if (state.SLOT < slot_target)	36	0	26258	0	unfalsifiable-closing	
674	668	relation ProcessSlots_loop	-- if ((slot_next \ $SLOTS_PER_EPOCH) = 0)	36	0	13016	13242	redundant	
678	672	relation ProcessSlots	-- if (state.SLOT < slot_target)	569	3	21497	695	falsifiable-covered	
680	674	def $expected_withdrawals_loop	-- if (|withdrawal_acc*{withdrawal_acc <- withdrawal_acc*}| = $MAX_WITHDRAWALS_PER_PAYLOAD)	3	148591	156	3657734	falsifiable-covered	
681	675	def $expected_withdrawals_loop	-- if (i >= uint64_bound)	563	148028	9500	3648234	falsifiable-covered	
682	676	def $expected_withdrawals_loop	-- if (vid < |state.VALIDATORS|)	148028	0	3648214	20	falsifiable-covered	
683	677	def $expected_withdrawals_loop	-- if (vid < |state.BALANCES|)	148028	0	3648191	23	falsifiable-covered	
686	680	def $expected_withdrawals_loop	-- if ($is_fully_withdrawable_validator(validator, balance, epoch) = true)	28	148000	4763	3643428	falsifiable-covered	
687	681	def $expected_withdrawals_loop	-- if (withdrawalIndex <= ($UINT64_MAX - 1))	28	0	4762	1	falsifiable-covered	
689	683	def $expected_withdrawals_loop	-- if (vid < |state.VALIDATORS|)	148000	0	3643452	20	falsifiable-covered	
690	684	def $expected_withdrawals_loop	-- if (vid < |state.BALANCES|)	148000	0	3643429	23	falsifiable-covered	
693	687	def $expected_withdrawals_loop	-- if ($is_fully_withdrawable_validator(validator, balance, epoch) = false)	148000	0	3643428	1	redundant	
694	688	def $expected_withdrawals_loop	-- if ($is_partially_withdrawable_validator(validator, balance) = true)	78	147922	18100	3625328	falsifiable-covered	
695	689	def $expected_withdrawals_loop	-- if (withdrawalIndex <= ($UINT64_MAX - 1))	78	0	18099	1	falsifiable-covered	
697	691	def $expected_withdrawals_loop	-- if (vid < |state.VALIDATORS|)	147922	0	3625353	20	falsifiable-covered	
698	692	def $expected_withdrawals_loop	-- if (vid < |state.BALANCES|)	147922	0	3625330	23	falsifiable-covered	
701	695	def $expected_withdrawals_loop	-- if ~$is_fully_withdrawable_validator(validator, balance, epoch)	147922	0	3625329	1	redundant	
702	696	def $expected_withdrawals_loop	-- if ~$is_partially_withdrawable_validator(validator, balance)	147922	0	3625328	1	redundant	
708	702	relation ApplyWithdrawals	-- if withdrawal*{withdrawal <- withdrawal*} matches []	566	106	9580	22543	falsifiable-covered	
709	703	relation ApplyWithdrawals	-- if withdrawal*{withdrawal <- withdrawal*} matches _ :: _	106	0	22543	0	unfalsifiable-closing	
713	707	relation AddFlag	-- if ~$has_flag(participationFlags, vid_flag)	11191	8775	931643	1333467	falsifiable-covered	
715	709	relation AddFlag	-- if $has_flag(participationFlags, vid_flag)	8775	0	1333467	0	unfalsifiable-closing	
716	710	relation AddFlags	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches []	14474	19966	1978623	2265110	falsifiable-covered	
717	711	relation AddFlags	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches _ :: _	19966	0	2265110	0	unfalsifiable-closing	
721	715	relation ProcessFlags	-- if (vid_attesting < |participationFlags*{participationFlags <- participationFlags*}|)	14575	0	1986669	0	unfalsifiable-tautology	
723	717	relation ProcessFlags_over_attesting	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches []	1032	14575	118712	1986669	falsifiable-covered	
724	718	relation ProcessFlags_over_attesting	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches _ :: _	14575	0	1986669	0	unfalsifiable-closing	
728	722	def $bit_is_one_en_blsPubkey	-- if (i < |boolean_bits*{boolean_bits <- boolean_bits*}|)	558848	0	1951616	0	unfalsifiable-tautology	
729	723	def $bit_is_one_en_blsPubkey	-- if (boolean_bits*{boolean_bits <- boolean_bits*}[i] = true)	7424	551424	150656	1800960	falsifiable-covered	
731	725	relation ApplyReward	-- if (bool = true)	7424	275712	138368	743914	falsifiable-covered	
734	728	relation ApplyReward	-- if (bool = false)	275712	0	743914	0	unfalsifiable-closing	
736	730	relation ApplyReward_over_participants	-- if boolean*{boolean <- boolean*} matches []	553	283136	1723	882292	falsifiable-covered	
737	731	relation ApplyReward_over_participants	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches []	553	0	1723	0	unfalsifiable-tautology	
738	732	relation ApplyReward_over_participants	-- if boolean*{boolean <- boolean*} matches _ :: _	283136	0	882292	0	unfalsifiable-closing	
740	734	relation ApplyReward_over_participants	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches _ :: _	283136	0	882282	10	falsifiable-covered	
746	740	relation ProcessProposerSlashing	-- if (beaconBlockHeader_1.SLOT = beaconBlockHeader_2.SLOT)	150	0	46344	548	falsifiable-covered	
747	741	relation ProcessProposerSlashing	-- if (beaconBlockHeader_1.PROPOSER_INDEX = beaconBlockHeader_2.PROPOSER_INDEX)	150	0	45677	667	falsifiable-covered	
748	742	relation ProcessProposerSlashing	-- if (beaconBlockHeader_1 =/= beaconBlockHeader_2)	150	0	45597	80	falsifiable-covered	
750	744	relation ProcessProposerSlashing	-- if (vid_proposer < |state.VALIDATORS|)	150	0	45597	0	target-limitation	
752	746	relation ProcessProposerSlashing	-- if $is_slashable_validator(validator_proposer, $get_current_epoch(state))	148	2	45575	22	falsifiable-covered	
757	751	relation ProcessProposerSlashing	-- if $bls_verify(validator_proposer.PUBKEY, root_sign_h1, signedBeaconBlockHeader_1.SIGNATURE)	148	0	45380	195	falsifiable-covered	
762	756	relation ProcessProposerSlashing	-- if $bls_verify(validator_proposer.PUBKEY, root_sign_h2, signedBeaconBlockHeader_2.SIGNATURE)	148	0	45185	195	falsifiable-covered	
764	758	relation ProcessProposerSlashings	-- if proposerSlashing*{proposerSlashing <- proposerSlashing*} matches []	558	150	7021	46892	falsifiable-covered	
765	759	relation ProcessProposerSlashings	-- if proposerSlashing*{proposerSlashing <- proposerSlashing*} matches _ :: _	150	0	46892	0	unfalsifiable-closing	
771	765	relation ProcessAttesterSlashing	-- if ($is_slashable_attestation_data(indexedAttestation_1.DATA, indexedAttestation_2.DATA) = true)	25	0	4543	214	falsifiable-covered	
772	766	relation ProcessAttesterSlashing	-- if ($is_valid_indexed_attestation(state, indexedAttestation_1) = true)	25	0	4309	234	falsifiable-covered	
773	767	relation ProcessAttesterSlashing	-- if ($is_valid_indexed_attestation(state, indexedAttestation_2) = true)	25	0	4280	29	falsifiable-covered	
777	771	relation ProcessAttesterSlashing	-- if bool_slashed_any	24	1	4260	20	falsifiable-covered	
778	772	relation ProcessAttesterSlashings	-- if attesterSlashing*{attesterSlashing <- attesterSlashing*} matches []	557	25	6524	4757	falsifiable-covered	
779	773	relation ProcessAttesterSlashings	-- if attesterSlashing*{attesterSlashing <- attesterSlashing*} matches _ :: _	25	0	4757	0	unfalsifiable-closing	
784	778	relation ProcessAttestation	-- if (attestationData.TARGET.EPOCH = $get_current_epoch(state))	523	883	70864	110211	falsifiable-covered	
785	779	relation ProcessAttestation	-- if (attestationData.TARGET.EPOCH = $compute_epoch_at_slot(attestationData.SLOT))	523	0	70577	287	falsifiable-covered	
786	780	relation ProcessAttestation	-- if ((attestationData.SLOT + $MIN_ATTESTATION_INCLUSION_DELAY) <= state.SLOT)	523	0	70539	38	falsifiable-covered	
787	783	relation ProcessAttestation	-- if (attestationData.INDEX < $get_committee_count_per_slot(state, attestationData.TARGET.EPOCH))	523	0	70425	114	falsifiable-covered	
789	785	relation ProcessAttestation	-- if (|attestation.AGGREGATION_BITS| = |vid_committee*{vid_committee <- vid_committee*}|)	523	0	70310	115	falsifiable-covered	
791	787	relation ProcessAttestation	-- if $is_valid_indexed_attestation(state, $get_indexed_attestation(state, attestation))	523	0	70069	71	falsifiable-covered	
798	794	relation ProcessAttestation	-- if (attestationData.TARGET.EPOCH = $get_previous_epoch(state))	883	0	109955	889	falsifiable-covered	
799	795	relation ProcessAttestation	-- if (attestationData.TARGET.EPOCH = $compute_epoch_at_slot(attestationData.SLOT))	883	0	109454	501	falsifiable-covered	
800	796	relation ProcessAttestation	-- if ((attestationData.SLOT + $MIN_ATTESTATION_INCLUSION_DELAY) <= state.SLOT)	883	0	109444	10	falsifiable-covered	
801	799	relation ProcessAttestation	-- if (attestationData.INDEX < $get_committee_count_per_slot(state, attestationData.TARGET.EPOCH))	883	0	109236	208	falsifiable-covered	
803	801	relation ProcessAttestation	-- if (|attestation.AGGREGATION_BITS| = |vid_committee*{vid_committee <- vid_committee*}|)	883	0	109037	199	falsifiable-covered	
805	803	relation ProcessAttestation	-- if $is_valid_indexed_attestation(state, $get_indexed_attestation(state, attestation))	883	0	108624	150	falsifiable-covered	
811	809	relation ProcessAttestations	-- if attestation*{attestation <- attestation*} matches []	557	1540	4134	200600	falsifiable-covered	
812	810	relation ProcessAttestations	-- if attestation*{attestation <- attestation*} matches _ :: _	1540	0	200600	0	unfalsifiable-closing	
816	814	relation ProcessDeposit	-- if $is_valid_merkle_branch($hash_tree_root_depositData(deposit.DATA), deposit.PROOF, ($DEPOSIT_CONTRACT_TREE_DEPTH + 1), state.ETH1_DEPOSIT_INDEX, state.ETH1_DATA.DEPOSIT_ROOT)	209	0	18822	1097	falsifiable-covered	
819	817	relation ProcessDeposits	-- if deposit*{deposit <- deposit*} matches []	557	209	3037	19919	falsifiable-covered	
820	818	relation ProcessDeposits	-- if deposit*{deposit <- deposit*} matches _ :: _	209	0	19919	0	unfalsifiable-closing	
826	824	relation ProcessVoluntaryExit	-- if (vid_exit < |state.VALIDATORS|)	139	0	7300	136	falsifiable-covered	
829	827	relation ProcessVoluntaryExit	-- if ($is_active_validator(validator, epoch_cur) = true)	139	0	7259	41	falsifiable-covered	
830	828	relation ProcessVoluntaryExit	-- if (validator.EXIT_EPOCH = $FAR_FUTURE_EPOCH)	137	2	7226	33	falsifiable-covered	
831	829	relation ProcessVoluntaryExit	-- if (epoch_cur >= voluntaryExit.EPOCH)	137	0	7098	128	falsifiable-covered	
832	830	relation ProcessVoluntaryExit	-- if (validator.ACTIVATION_EPOCH <= ($UINT64_MAX - $SHARD_COMMITTEE_PERIOD))	137	0	7098	0	unfalsifiable-tautology	
833	831	relation ProcessVoluntaryExit	-- if (epoch_cur >= (validator.ACTIVATION_EPOCH + $SHARD_COMMITTEE_PERIOD))	137	0	7098	0	unfalsifiable-tautology	
836	834	relation ProcessVoluntaryExit	-- if ($bls_verify(validator.PUBKEY, root_vol_exit_signing_root, signedVoluntaryExit.SIGNATURE) = true)	137	0	6923	175	falsifiable-covered	
838	836	relation ProcessVoluntaryExits	-- if signedVoluntaryExit*{signedVoluntaryExit <- signedVoluntaryExit*} matches []	555	139	2524	7436	falsifiable-covered	
839	837	relation ProcessVoluntaryExits	-- if signedVoluntaryExit*{signedVoluntaryExit <- signedVoluntaryExit*} matches _ :: _	139	0	7436	0	unfalsifiable-closing	
845	843	relation ProcessBlsToExecutionChange	-- if (vid_change < |state.VALIDATORS|)	117	0	4673	116	falsifiable-covered	
847	845	relation ProcessBlsToExecutionChange	-- if ($get_first_byte(validator.WITHDRAWAL_CREDENTIALS) = $BLS_WITHDRAWAL_PREFIX)	115	2	4649	24	falsifiable-covered	
848	846	relation ProcessBlsToExecutionChange	-- if ($strip_first_byte(validator.WITHDRAWAL_CREDENTIALS) = $strip_first_byte($hash_<blsPubkey>(blsToExecutionChange.FROM_BLS_PUBKEY)))	115	0	4463	186	falsifiable-covered	
851	849	relation ProcessBlsToExecutionChange	-- if ($bls_verify(blsToExecutionChange.FROM_BLS_PUBKEY, root_sign, signedBlsToExecutionChange.SIGNATURE) = true)	115	0	4328	135	falsifiable-covered	
853	851	relation ProcessBlsToExecutionChanges	-- if signedBlsToExecutionChange*{signedBlsToExecutionChange <- signedBlsToExecutionChange*} matches []	553	117	2063	4789	falsifiable-covered	
854	852	relation ProcessBlsToExecutionChanges	-- if signedBlsToExecutionChange*{signedBlsToExecutionChange <- signedBlsToExecutionChange*} matches _ :: _	117	0	4789	0	unfalsifiable-closing	
858	856	relation ProcessBlockHeader	-- if (block.SLOT = state.SLOT)	569	0	18821	0	unfalsifiable-tautology	
859	857	relation ProcessBlockHeader	-- if (state.LATEST_BLOCK_HEADER.SLOT < block.SLOT)	569	0	18589	232	falsifiable-covered	
860	858	relation ProcessBlockHeader	-- if ($get_beacon_proposer_index(state) = block.PROPOSER_INDEX)	567	2	17600	989	falsifiable-covered	
861	859	relation ProcessBlockHeader	-- if (block.PARENT_ROOT = $hash_tree_root_beaconBlockHeader(state.LATEST_BLOCK_HEADER))	566	1	9706	7894	falsifiable-covered	
863	861	relation ProcessBlockHeader	-- if (block.PROPOSER_INDEX < |state.VALIDATORS|)	566	0	9706	0	unfalsifiable-tautology	
864	862	relation ProcessBlockHeader	-- if ~state.VALIDATORS[block.PROPOSER_INDEX].SLASHED	566	0	9701	5	falsifiable-covered	
866	864	relation ProcessWithdrawals	-- if (executionPayload.WITHDRAWALS = withdrawal_expected*{withdrawal_expected <- withdrawal_expected*})	566	0	9580	76	falsifiable-covered	
868	866	relation ProcessWithdrawals	-- if (|withdrawal_expected*{withdrawal_expected <- withdrawal_expected*}| = 0)	551	15	5566	4014	falsifiable-covered	
871	869	relation ProcessWithdrawals	-- if (executionPayload.WITHDRAWALS = withdrawal_expected*{withdrawal_expected <- withdrawal_expected*})	15	0	4014	76	falsifiable-covered	
873	871	relation ProcessWithdrawals	-- if (|withdrawal_expected*{withdrawal_expected <- withdrawal_expected*}| = $MAX_WITHDRAWALS_PER_PAYLOAD)	3	12	147	3867	falsifiable-covered	
878	876	relation ProcessWithdrawals	-- if (executionPayload.WITHDRAWALS = withdrawal_expected*{withdrawal_expected <- withdrawal_expected*})	12	0	3867	76	falsifiable-covered	
880	878	relation ProcessWithdrawals	-- if (|withdrawal_expected*{withdrawal_expected <- withdrawal_expected*}| =/= 0)	12	0	3867	0	unfalsifiable-closing	
881	879	relation ProcessWithdrawals	-- if (|withdrawal_expected*{withdrawal_expected <- withdrawal_expected*}| =/= $MAX_WITHDRAWALS_PER_PAYLOAD)	12	0	3867	0	unfalsifiable-closing	
886	884	relation ProcessExecutionPayload	-- if (executionPayload.PARENT_HASH = state.LATEST_EXECUTION_PAYLOAD_HEADER.BLOCK_HASH)	566	0	9454	126	falsifiable-covered	
887	885	relation ProcessExecutionPayload	-- if (executionPayload.PREV_RANDAO = $get_randao_mix(state, $get_current_epoch(state)))	565	1	9453	1	falsifiable-covered	
888	886	relation ProcessExecutionPayload	-- if (executionPayload.TIMESTAMP = $compute_time_at_slot(state, state.SLOT))	565	0	9085	368	falsifiable-covered	
889		relation ProcessExecutionPayload	-- if (|body.BLOB_KZG_COMMITMENTS| <= $MAX_BLOBS_PER_BLOCK)	562	3	9082	3	falsifiable-covered	
890	887	relation ProcessExecutionPayload	-- if $ee_verify_and_notify_new_payload(executionPayload)	562	0	9082	0	unfalsifiable-tautology	
894	891	relation ProcessRandao	-- if (vid_proposer < |state.VALIDATORS|)	562	0	9082	0	unfalsifiable-tautology	
898	895	relation ProcessRandao	-- if $bls_verify(validator_proposer.PUBKEY, root_signing, body.RANDAO_REVEAL)	562	0	8770	312	falsifiable-covered	
905	902	relation ProcessEth1Data	-- if ((n_occ * 2) > ($EPOCHS_PER_ETH1_VOTING_PERIOD * $SLOTS_PER_EPOCH))	0	562	0	8770	falsifiable-covered	
908	905	relation ProcessEth1Data	-- if ((n_occ * 2) <= ($EPOCHS_PER_ETH1_VOTING_PERIOD * $SLOTS_PER_EPOCH))	562	0	8770	0	unfalsifiable-closing	
909	906	relation ProcessOperations	-- if (state.ETH1_DEPOSIT_INDEX <= state.ETH1_DATA.DEPOSIT_COUNT)	562	0	8730	40	falsifiable-covered	
910	907	relation ProcessOperations	-- if (|body.DEPOSITS| = $min_uint64($MAX_DEPOSITS, (state.ETH1_DATA.DEPOSIT_COUNT - state.ETH1_DEPOSIT_INDEX)))	560	2	8728	2	falsifiable-covered	
919	916	relation ProcessSyncAggregate	-- (if (blsPubkey = blsPubkey_committee))*{blsPubkey <- blsPubkey*, blsPubkey_committee <- blsPubkey_committee*}	553	0	2063	0	unfalsifiable-tautology	
924	921	relation ProcessSyncAggregate	-- if $eth_fast_aggregate_verify(blsPubkey_participants*{blsPubkey_participants <- blsPubkey_participants*}, root_sign, syncAggregate.SYNC_COMMITTEE_SIGNATURE)	553	0	1855	208	falsifiable-covered	
932	929	relation ProcessSyncAggregate	-- if (state.CURRENT_SYNC_COMMITTEE.PUBKEYS = blsPubkey_committee*{blsPubkey_committee <- blsPubkey_committee*})	553	0	1855	0	unfalsifiable-tautology	
944	941	relation State_transition	-- if (bool = true)	0	572	0	22192	falsifiable-covered	
947	944	relation State_transition	-- if $verify_block_signature(state_cur, signedBeaconBlock)	0	0	0	0	unfalsifiable-tautology	
949	946	relation State_transition	-- if (beaconBlock.STATE_ROOT = $hash_tree_root_beaconState(state_next))	0	0	0	0	unfalsifiable-tautology	
950	947	relation State_transition	-- if (bool = false)	572	0	22192	0	unfalsifiable-tautology	
